"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 2448.09642977267, 1077.82099295729, 2448.09642977267, 2674.85966404317, 84.280236244158, 53.8861332618271, 84.280236244158
2, 2311.5685176544, 1014.37563415709, 2448.09642977267, 2674.85966404317, 79.6560242935289, 45.9703249620303, 84.280236244158
3, 2202.04443059103, 963.22238482084, 2448.09642977267, 2674.85966404317, 76.2159196113944, 39.5528243115334, 84.280236244158
4, 2215.69700292316, 969.12252948694, 2448.09642977267, 2674.85966404317, 76.7949741818367, 39.9459984302787, 84.280236244158
5, 2274.29413893861, 998.357178954182, 2448.09642977267, 2674.85966404317, 78.0090520380091, 45.0596619655639, 84.280236244158
6, 2446.92119598183, 1080.01736777126, 2448.09642977267, 2674.85966404317, 86.4465189308192, 58.9918022841539, 86.4465189308192
7, 2340.21519278029, 1028.76701823508, 2448.09642977267, 2674.85966404317, 82.7530218634486, 51.0234262500385, 86.4465189308192
8, 2256.62487975947, 987.286879114416, 2448.09642977267, 2674.85966404317, 82.0504270309618, 44.9368454213899, 86.4465189308192
9, 2546.81783098235, 1123.01427422279, 2546.81783098235, 2783.42273546757, 104.191162242058, 70.1058806658103, 104.191162242058
10, 2674.73204445655, 1187.12739197177, 2674.73204445655, 2926.33951454926, 113.885700861834, 83.0695212552524, 113.885700861834
11, 2829.38193746783, 1259.21182346466, 2829.38193746783, 3096.93664197742, 122.506141808104, 93.8737459459093, 122.506141808104
12, 2647.11527896195, 1170.58909857043, 2829.38193746783, 3096.93664197742, 109.434790037456, 75.55343546476, 122.506141808104
13, 2724.68651547158, 1205.74413182621, 2829.38193746783, 3096.93664197742, 109.177806316046, 79.0889577472745, 122.506141808104
14, 2687.02463854123, 1189.42475169966, 2829.38193746783, 3096.93664197742, 110.474513684071, 79.4201351302218, 122.506141808104
15, 2814.38558382794, 1252.9300905712, 2829.38193746783, 3096.93664197742, 119.403060356059, 91.319082949161, 122.506141808104
16, 2969.31903676146, 1326.01867749055, 2969.31903676146, 3251.95034942537, 125.235554961948, 102.583123524662, 125.235554961948
17, 3331.87184605616, 1504.8618301111, 3331.87184605616, 3655.95119309148, 144.341618748652, 139.246446331239, 144.341618748652
18, 3738.25618169235, 1696.78692179262, 3738.25618169235, 4105.31912741599, 164.513054888821, 173.347095229794, 164.513054888821
19, 3969.33198045158, 1802.3897182504, 3969.33198045158, 4359.38127117719, 182.234016097168, 193.951275005756, 182.234016097168
20, 3750.13203729343, 1696.53608503226, 3969.33198045158, 4359.38127117719, 173.483546633318, 174.901167380176, 182.234016097168
21, 3649.8831913939, 1653.11598086378, 3969.33198045158, 4359.38127117719, 160.319502088022, 166.441357648649, 182.234016097168
22, 3301.69999905572, 1479.66555572435, 3969.33198045158, 4359.38127117719, 125.529065236755, 120.616272064414, 182.234016097168
23, 2923.56960708502, 1300.82439180613, 3969.33198045158, 4359.38127117719, 103.853136893902, 87.0171100735021, 182.234016097168
24, 2586.2850929398, 1142.26884916183, 3969.33198045158, 4359.38127117719, 89.3116302015788, 62.4728852999341, 182.234016097168
