"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
1, 0, 1.02420751508699, 0, 1.04082284190299, 121961410, 121959632, 133, 0.93796680256134, 0, 1.03647931630088, 1000997353, 723387
2, 0, 1.02515418080617, 0, 1.04075545389087, 169867813, 121959632, 69, 0.942659951923424, 0, 1.03671660638204, 1000997353, 723387
3, 0, 1.02589045947287, 0, 1.04071886866344, 169867813, 121959632, 37, 0.945373677917587, 0, 1.0369338742259, 1000997353, 723387
4, 0, 1.02580823937241, 0, 1.04072388703907, 169867813, 121959632, 46, 0.945256089568993, 0, 1.03686586614478, 1000997353, 723387
5, 0, 1.02529495264104, 0, 1.04114375507268, 169867813, 121959632, 211, 0.925161410141503, 0, 1.03663677411409, 1001024597, 723387
6, 0, 1.02377955121729, 0, 1.04071619944783, 121961410, 121959632, 213, 0.931378703426824, 0, 1.03648602211416, 1000998403, 723387
7, 0, 1.02528388707413, 0, 1.04065470363018, 121961410, 121959632, 152, 0.931420820863695, 0, 1.03523409198647, 1000998403, 723387
8, 0, 1.02616032492574, 0, 1.04052900345628, 121961410, 121959632, 94, 0.932175560726751, 0, 1.03518870230275, 1001023190, 723387
9, 0, 1.02436272473904, 0, 1.04059922977939, 121961410, 121959632, 134, 0.896953198477721, 0, 1.03524964772982, 1001020936, 723387
10, 0, 1.02401215164594, 0, 1.04063106908046, 121961410, 121959632, 163, 0.869938689474729, 0, 1.03555785496608, 1001020936, 723387
11, 0, 1.0231141675971, 0, 1.04066490832948, 121961410, 121959632, 209, 0.85975234903117, 0, 1.03426173052953, 1001020936, 723387
12, 0, 1.02441531963792, 0, 1.0406676273146, 121961410, 121959632, 105, 0.863421403591833, 0, 1.03599925444638, 1001020936, 723387
13, 0, 1.02346520358504, 0, 1.040565603828, 121961410, 121959632, 122, 0.887646298052464, 0, 1.03554180339182, 1001020936, 723387
14, 0, 1.0240728021937, 0, 1.04070156721281, 121961410, 121959632, 161, 0.861027362223424, 0, 1.0358976231264, 1001020936, 723387
15, 0, 1.02316172341947, 0, 1.04080925544714, 121961410, 121959632, 199, 0.875191717432589, 0, 1.03591692241295, 1001020936, 723387
16, 0, 1.02223875010831, 0, 1.04089374601835, 121961410, 121959632, 252, 0.875729230346837, 0, 1.03555764279871, 1001020936, 723387
17, 0, 1.02011815641051, 0, 1.04079085574073, 121961410, 121959632, 496, 0.86149897228453, 0, 1.03384838708754, 1001020936, 723387
18, 0, 1.01693044676462, 0, 1.04133171254504, 121961410, 121959632, 590, 0.869428651516259, 0, 1.03442675002046, 1001020936, 723387
19, 0, 1.01399208379675, 0, 1.04151195092122, 121961410, 121959632, 637, 0.861645825097524, 0, 1.03291303227902, 1001024968, 723387
20, 0, 1.01554585716672, 0, 1.04131154582321, 121961410, 121959632, 648, 0.84642396329872, 0, 1.03416286400867, 1001024968, 723387
21, 0, 1.01656925697907, 0, 1.04122249828343, 121961410, 121959632, 676, 0.856384255205959, 0, 1.03178574372043, 1001024968, 70266998
22, 0, 1.01847115410046, 0, 1.04098319500939, 121961410, 121959632, 291, 0.905211816126082, 0, 1.03326355716797, 1000997353, 723387
23, 0, 1.02063443861533, 0, 1.04080307617357, 121961410, 121959632, 164, 0.906003599758172, 0, 1.0352172254388, 1000997353, 723387
24, 0, 1.0231941068289, 0, 1.04069663423734, 121961410, 121959632, 127, 0.927871078912146, 0, 1.03604407755452, 1000997353, 723387
